"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"go-KHngQblm41NhdSxHAAAAAA==","google","https://www.recruit.net/job/software-engineer-ai-training-jobs/6108B7EBE4AF80CC?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer for AI Training","VirtualVocations","San Francisco, CA, United States","2025-05-21","","","","","","",False,"","","","","A company is looking for a Software Engineer for Training AI Data in dialects of the Arabic language, Swift.
Key Responsibilities
Evaluate the quality of AI-generated code and provide human-readable summaries
Write functional and efficient code to solve coding problems
Develop robust test cases to ensure code effectiveness and efficiency
Required Qualifications
3+ years of experience in a software engineering/software development role
Complete fluency in the English language
Proficiency with Swift
Solid understanding of grammar, punctuation, and style guidelines
Ability to articulate complex scientific concepts clearly and engagingly","","","","","","","","","","","","","",""
"go-ld7cAK8ePpSOva5iAAAAAA==","google","https://www.recruit.net/job/typescript-developer-jobs/AD6DBA7ADF6016C4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","TypeScript Developer","VirtualVocations","Oakland, CA, United States","2025-05-21","","","","","","",False,"","","","","A company is looking for a TypeScript Developer and Open Source Collaborator.
Key Responsibilities
Maintain and develop new features for an open-source LLM chat interface
Collaborate with external contributors and manage pull requests
Balance community needs with company requirements in open-source projects
Required Qualifications
Expert level in TypeScript
Experience with modern web frameworks
Proficiency in containerization (Docker)
Experience with LLMs, data connectors, and vector databases
Familiarity with HIPAA and SOC 2 compliance","","","","","","","","","","","","","",""
"go-TC6cR57lpqcJ_7B1AAAAAA==","google","https://www.linkedin.com/jobs/view/founding-ai-ml-engineer-equity-based-at-karibu-ai-4235467594?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Founding AI/ML Engineer (Equity Based)","Karibu.AI","San Francisco, CA, United States","2025-05-18","","","","","","",False,"","","","","Founding AI/ML Engineer (Equity Based)

Location: SF Bay Area Only

Company: Karibu.ai

About Karibu.ai

Karibu is a generative AI platform that delivers onboarding, orientation, and training through personalized learning journeys. We’re already in pilots with paying customers and backed by two years of focused R&D.

Led by a seasoned founder and joined by a strong MS-level engineering team, we’re now hiring our third core leader; a founding AI/ML engineer to help us push into the future of adaptive, intelligent learning.

Why This Role

This is your opportunity to build using the latest edge AI into real workflows that change how healthcare teams ramp up and thrive.

As our Founding AI/ML Engineer, you’ll:
• Own AI product architecture and delivery across the stack
• Build reinforcement learning, personalization, and customization into the next generation of our platform
• Work at the intersection of LLMs, avatars, and structured health data
• Integrate streaming GenAI into real-time training and avatar experiences
• Help shape engineering culture and lead with systems thinking
• Join the core leadership team (CEO, Founding Full-Stack Engineer, you)
• Represent engineering in conversations with enterprise customers and investors

Who You Are
• Senior+ engineer or researcher with shipped AI systems
• Deep in NLP, prompt engineering, LLM orchestration, or multimodal tools
• Comfortable owning architecture and strategy
• Startup-minded: bias toward action, thrives in ambiguity
• Passionate about health, education, and high-impact work
• Excited about: Agentic frameworks, embedding pipelines, or real-time avatars

Our Stack
• Frontend: React, Next.js
• Backend: Supabase (Postgres), Node.js
• Infra: Vercel, GitHub, Amazon
• AI Layer: OpenAI, Heygen, LangChain, Python microservices

What You’ll Get
• Founding equity
• A platform with live pilots, paying customers, and a high-trust early team
• Support from MS-level engineers hungry for guidance and structure
• Competitive salary post-funding (targeting Q3 2025)","","","","","","","","","","","","","",""
"go-tUU72RjA7u9mFS9iAAAAAA==","google","https://www.linkedin.com/jobs/view/senior-backend-developer-typescript-node-js-aws-at-insight-global-4236232718?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Senior Backend Developer (Typescript, Node.js, AWS)","Insight Global","San Francisco, CA, United States","2025-05-16","","","","","","",False,"","","","","Must Haves:
• 8+ years of experience utilizing Typescript and Node.JS for backend development within an enterprise level organization
• Extensive experience coding and deploying features within AWS serverless environment
• Experience working with AWS Services Lambda, S3, DynamoDB
• Observability tools such as Datadog or NewRelic
• Building new services and features across connected devices – SmartTV, Set top boxes etc.

Job Description:

Insight Global is searching for a Sr. Backend Engineer to join the team of our largest entertainment streaming clients. This person will join the senior level team that works on the company’s multiple partnership platforms focused on search and discovery features, billing, payment, and viewing. This person should have 8+ years of experience with development using Typescript, Node.js for backend development. Experience working within a heavy AWS environment working within a serverless infrastructure. They should stay up to date on the latest technologies and comfortable in a collaborative environment.","","","","","","","","","","","","","",""
"go-a9a08uDsPoZVXvIVAAAAAA==","google","https://www.linkedin.com/jobs/view/software-development-director-at-oracle-4236015803?refId=M/lgTtmzh9zCF%2B6XeYErvA%3D%3D&trackingId=99bKHLVqgPsUyRAbASF0gQ%3D%3D&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Development Director","Oracle","San Francisco, CA, United States","2025-05-16","","description","yearly",122500.0,291800.0,"USD",False,"","","","accommodation-request_mb@oracle.com","Job Description

At Oracle Cloud Infrastructure (OCI), we’re building the future of enterprise cloud with the spirit of a startup and the scale of a global technology leader. We deliver world-class cloud services that power mission-critical workloads for customers around the world.

The Generative AI Services team at OCI is an innovation-driven organization at the intersection of artificial intelligence and cloud infrastructure. We develop and operate large-scale distributed systems that leverage state-of-the-art Large Language Models (LLMs) and Agentic AI architectures to solve complex, real-world problems across industries.

We are seeking a Director of Software Engineering to lead the development of next-generation AI-powered infrastructure, with a special emphasis on Agentic AI systems — intelligent, goal-directed software entities capable of autonomous decision-making, reasoning, and collaboration.

In this role, you’ll lead globally distributed engineering teams, define architecture and platform strategies for LLM-based services and agent frameworks, and bring scalable, intelligent services to market. This is a foundational leadership opportunity to help shape the future of AI-native computing.

Required Qualifications
• Bachelor’s or Master’s degree in Computer Science, Engineering, or Mathematics (or equivalent experience)
• Strong academic foundation in core computer science areas, especially operating systems, distributed systems, and compilers
• 10+ years of software engineering experience, including significant experience building cloud-native infrastructure
• 5+ years of experience leading high-performing engineering teams in global or matrixed organizations
• Hands-on experience in building, deploying, or integrating machine learning systems at scale
• Deep knowledge of distributed systems, networking, data structures, OS, and cloud architecture
• Strong communication, problem-solving, and strategic planning skills
• Demonstrated experience driving complex cross-functional engineering initiatives

Preferred Qualifications
• Advanced degree (MS or PhD) in Computer Science, Engineering, or a related technical discipline
• 10 years of experience building or managing AI/ML systems, with recent focus on LLM infrastructure or agent-based AI architectures
• Proven track record in designing and operationalizing Agentic AI platforms, including dynamic memory systems, multi-agent coordination, and tool integrations
• Experience launching new AI-driven products or services from inception to scale in enterprise environments
• Practical familiarity with modern agent frameworks such as LangGraph, CrewAI, AutoGen, or equivalents
• Passion for solving complex technical challenges and fostering innovation in fast-moving environments
• Strong executive presence and ability to align engineering direction with business outcomes
• Excellent written and verbal communication skills

Responsibilities
• Own and deliver high-scale, multi-tenant, distributed AI services supporting LLM inference and agentic workflows
• Design and lead the development of Agentic AI systems, including orchestration frameworks, memory layers, and tool-augmented agents
• Drive architectural decisions and strategy for building intelligent, autonomous software infrastructure
• Lead and scale high-performing engineering teams, including senior managers and technical leads
• Build cross-functional partnerships with product, research, and platform engineering to deliver innovation at scale
• Develop and maintain product, infrastructure, and AI capability roadmaps aligned with strategic goals
• Oversee large, complex programs with clear execution frameworks and measurable milestones
• Cultivate a strong engineering culture based on ownership, curiosity, and continuous learning
• Present progress, technical strategy, and vision to executive stakeholders

Qualifications

Disclaimer:

Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.

Range and benefit information provided in this posting are specific to the stated locations only

US: Hiring Range in USD from: $122,500 - $291,800 per year. May be eligible for bonus, equity, and compensation deferral.

Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience, market conditions and locations, as well as reflect Oracle’s differing products, industries and lines of business.

Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.

Oracle US offers a comprehensive benefits package which includes the following:
• Medical, dental, and vision insurance, including expert medical opinion
• Short term disability and long term disability
• Life insurance and AD&D
• Supplemental life insurance (Employee/Spouse/Child)
• Health care and dependent care Flexible Spending Accounts
• Pre-tax commuter and parking benefits
• 401(k) Savings and Investment Plan with company match
• Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation.
• 11 paid holidays
• Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours.
• Paid parental leave
• Adoption assistance
• Employee Stock Purchase Plan
• Financial planning and group legal
• Voluntary benefits including auto, homeowner and pet insurance

The role will generally accept applications for at least three calendar days from the posting date or as long as the job remains posted.

Career Level - M4

About Us

As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s challenges. We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.

We know that true innovation starts when everyone is empowered to contribute. That’s why we’re committed to growing an inclusive workforce that promotes opportunities for all.

Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical, life insurance, and retirement options. We also encourage employees to give back to their communities through our volunteer programs.

We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by emailing accommodation-request_mb@oracle.com or by calling +1 888 404 2494 in the United States.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.","","","","","","","","","","","","","",""
"go-0guNpGv8XZP2sDgKAAAAAA==","google","https://www.linkedin.com/jobs/view/software-engineer-infrastructure-at-verily-4236239698?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer, Infrastructure","Verily","San Bruno, CA, United States","2025-05-16","internship","description","yearly",106000.0,150000.0,"USD",False,"","","","","Who We Are

Verily is a subsidiary of Alphabet that is using a data-driven approach to change the way people manage their health and the way healthcare is delivered. Launched from Google X in 2015, our purpose is to bring the promise of precision health to everyone, every day. We are focused on generating and activating data from a variety of sources, including clinical, social, behavioral and the real world, to arrive at the best solutions for a person based on a comprehensive view of the evidence. Our unique expertise and capabilities in technology, data science and healthcare enable the entire healthcare ecosystem to drive better health outcomes.

Description

The Developer Platform team is responsible for building a cloud-native developer platform (PaaS) that enables the end-to-end software development lifecycle for over 600 engineers at Verily. We furnish a speedy, delightful, scalable, and secure developer journey through integrated capabilities in application templates, developer portals, CI, CD and other functional areas.

We are a product-oriented, highly-effective, world-class platform engineering team that has a large positive impact on the software development process at Verily. As part of this team, you will work closely with engineers who have worked on successful projects like Kubernetes, Istio, and Firebase.

Responsibilities
• Contribute to the design and development of platform capabilities using modern cloud-native tools and open-source technologies (e.g., Kubernetes, Backstage, ArgoCD, Terraform), with guidance from senior engineers.
• Write clean, maintainable, and well-documented code in collaboration with team members.
• Participate in code reviews, design discussions, and team planning activities to learn and apply engineering best practices.
• Assist in deploying and monitoring services in a production environment.
• Learn to scope tasks and manage priorities with support from mentors and leads.

Qualifications

Minimum Qualifications
• BA/BS degree in Computer Science, Electrical Engineering, or a related field; or equivalent practical experience through internships, projects, or self-directed learning.
• Familiarity with one or more programming languages such as Go, Python, or C++.
• Exposure to cloud platforms (e.g., Google Cloud Platform, AWS, Azure) through coursework, internships, or personal projects.
• Understanding of basic data structures, algorithms, and software design principles.
• Effective communication and collaboration skills; ability to ask questions and learn from feedback.

Preferred Qualifications
• Internship or project experience with Kubernetes, GitHub Actions, Terraform, or similar tools.
• Familiarity with DevOps practices, CI/CD pipelines, or developer platforms.
• Demonstrated interest in developer experience and platform tooling.
• Passion for learning and growing in a collaborative engineering environment.

Qualified applicants must not require employer sponsored work authorization now or in the future for employment in the United States.

The US base salary range for this full-time position is $106,000 - $150,000 + bonus + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus or benefits.","","","","","","","","","","","","","",""
"go-GmVhG2dDH9miQkL7AAAAAA==","google","https://www.linkedin.com/jobs/view/senior-engineering-manager-backend-developer-user-experience-at-mercury-4236017109?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Senior Engineering Manager - Backend Developer User Experience","Mercury","San Francisco, CA, United States","2025-05-15","","description","yearly",239000.0,298800.0,"USD",True,"","","","","In 1940, German submarines sank more than twelve hundred British ships. Without regular shipments of food, the British Isles would starve. They needed a new strategy.

Surprisingly, the strategy didn't come from the sailors engaged in the day-to-day of combat with German U-boats—it came from eight women from the Women's Royal Navy Service. With the help of former ship captain Gilbert Roberts, who trained them on the practical capabilities of the ships and submarines, they ran wargames that revealed the British seriously misunderstood German tactics: they had assumed the U-boats would attack from outside the shipping convoy; in actuality they waited for the convoy to pass over them, and attacked from the stern.

The women—nicknamed the Wrens—developed new strategies for fighting the submarines, overcoming skepticism when 18-year-old Janet Okell five times defeated a British admiral in submarine wargames. The tactics they developed were extremely successful, and they trained over 5,000 officers throughout the course of the war.

Their success highlights how a small and highly capable team working on the effectiveness of a larger organization can unlock powerful new potentials, leading to an outsized impact. At Mercury, our Developer User Experience (DUX) Teams fill the role of enablers, via education, tooling, and frameworks that support those building the product. Mercury is hiring an Engineering Manager to lead our Backend Developer User Experience team.

As the Senior Engineering Manager for Backend DUX, you'll lead a team of incredibly talented engineers in creating a developer ecosystem which delivers speed, quality, and enjoyment for Mercury's 200+ engineers. Mercury's primary backend language is Haskell, and your team is comprised of industry recognized thought leaders in that community. You'll report to the Director of Stability, Infrastructure, and Developer UX, work alongside other platform teams whose overarching mission is to achieve startup-like developer effectiveness at scale.

In this role, you'll be responsible for:
• Instrumenting the SDLC, ensuring we have effective quantitative and qualitative ways of understanding our engineers’ speed, quality, and enjoyment of their work.
• Adopting and evangelizing a product-centric approach to improving the effectiveness of our backend engineers through the introducing of novel tools and methodologies.
• Guiding the organization through adoption of solutions, and championing their integration across Mercury’s broader engineering team, and graceful sunsetting of legacy solutions we wish to move past.
• Cultivating a trusting, psychologically safe, and challenging culture on your team.
• Working with other Infrastructure, Stability, and Developer Experience leaders, Product Management, and other stakeholder teams on setting the long term vision for and defining what the software development journey looks like at Mercury.

And here are some traits we think would be helpful for the job:
• You possess a passion for enabling other engineers, and you feel a great sense of reward as your team’s investments improve engineering velocity and enjoyment. You’re always eager to challenge your own and your team’s assumptions, creating data-backed cases for investments and strategic shifts.
• You’re receptive towards both positive and critical feedback from users, ensuring customer insights drive our decisions as we find new ways to improve engineering speed of iteration and overall experience.
• You enjoy navigating and owning ambiguous problem domains, and have a set of tools that have served you well in creating a strategy and effectively communicating your plan to others to get buy-in and create alignment.
• You’re comfortable getting your hands dirty as a developer, and are familiar with the experience of using a suite of modern supportive tools as well as the pain and frustration when developer friction impedes your progress.

The person who will be best setup for success will have the following experience:
• You have previous experience managing a developer tooling and/or building products for developers
• You have 4+ years managing software engineering teams (experience leading remote-first distributed teams is a plus)
• You have 3+ years experience as a software engineer (Haskell/functional language experience a plus)

The total rewards package at Mercury includes base salary, equity, and benefits.

Our salary and equity ranges are highly competitive within the SaaS and fintech industry and are updated regularly using the most reliable compensation survey data for our industry. New hire offers are made based on a candidate’s experience, expertise, geographic location, and internal pay equity relative to peers.

Our target new hire base salary ranges for this role are the following:

US employees (any location): $239,000 - 298,800

Canadian employees (any location): CAD 225,900 - 282,400
• Mercury is a financial technology company, not a bank. Banking services provided by Choice Financial Group, Column N.A., and Evolve Bank & Trust, Members FDIC.

Mercury values diversity & belonging and is proud to be an Equal Employment Opportunity employer. All individuals seeking employment at Mercury are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, sexual orientation, or any other legally protected characteristic. We are committed to providing reasonable accommodations throughout the recruitment process for applicants with disabilities or special needs. If you need assistance, or an accommodation, please let your recruiter know once you are contacted about a role.

We use Covey as part of our hiring and / or promotional process for jobs in NYC and certain features may qualify it as an AEDT. As part of the evaluation process we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound on January 22, 2024. Please see the independent bias audit report covering our use of Covey here.","","","","","","","","","","","","","",""
"go-63bDeWNkC1nSYUkTAAAAAA==","google","https://www.linkedin.com/jobs/view/founding-engineer-vc-backed-generative-ai-fintech-at-stealth-4236220655?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Founding Engineer - VC Backed Generative AI FinTech","Stealth","San Francisco, CA, United States","2025-05-15","","","","","","",False,"","","","","Location: San Francisco, United States | Commitment: Full-time (Hybrid)

About Us: We're building the AI CFO for personal finance. This is not a new idea. What is new is that generative AI opens a world of possibility to build a 100x user experience vs what exists in the market today. Our team is uniquely equipped to build this company. We’re all former founders. Our CEO led marketing for one of the great success stories in consumer finance, joining pre-product and building the company to 8MM users before acquisition. Other co-founders have multiple exits backed by LSVP, Khosla, GGV. We’re funded by tier 1 venture funds as we sprint to market with a generative AI personal finance CFO that will own the largest area of consumer spend. We have built the first product, are acquiring customers and are now looking for our first engineering hires and a Head of Engineering to help shape our technology, build our product and scale it for the future. If this sounds like you, please read on.

The Role: You will steer the software development lifecycle from ideation to production. Your mission is to ensure the delivery of high-quality, scalable products. Working hand in hand with the product team, you will transform business requirements into technical solutions and have significant influence over our product direction and roadmap. Ideal candidates will have experience building scaled financial and AI solutions. Experience in a startup environment is a must.

You will lead a strong team, fostering a robust engineering culture and making sure your team has the resources and support they need to be successful. Your experience in building products from zero to one will be essential for this role.

About You: You are a trailblazer with a hands-on approach to problem-solving. You have an eye for what a great product looks and feels like. Your deep curiosity drives your innovative thinking, and you thrive in the fast-paced, dynamic environment of a startup. Your ability to execute across functions is exceptional and you have an inherent bias for action. You're a builder at heart and a leader by nature with a low ego and high EQ. You have an innate ability to build trust with a wide array of stakeholders - team members, investors, and customers. Your passion is creating features that delight end-users, and you have a proven track record in building and scaling products and engineering teams. Big plus if you’ve held a founding engineer or CTO role previously. Being located in San Francisco or willing to relocate is strongly preferred for this role. You have a passion for building in AI and have a track record to showcase in using the latest AI tooling to build world-class products that consumers love.

Qualifications:
• Bachelor's or Master's degree in Computer Science or related field
• 7-10+ years of experience in software engineering, with a minimum of 5 years in a leadership role
• Demonstrable experience in building and scaling large-scale software systems from scratch
• Demonstrable experience building AI first products
• Expertise building mobile applications
• Expertise building solutions in financial services
• Solid track record of delivering high-quality software products
• Experience managing and mentoring a team of engineers
• Stellar communication and interpersonal skills
• Passion for enhancing lives through innovative technology solutions
• Bonus points for startup and big tech experience, double bonus for Amazon experience
• Incredible bias for action and willingness to work exceptionally hard

Next Steps: Is this you? We're excited to meet you. Please apply!","","","","","","","","","","","","","",""
"go-16NmuiYaCtC8Dr0NAAAAAA==","google","https://www.linkedin.com/jobs/view/software-engineer-front-end-at-nextdoor-4235587612?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer - Front End","Nextdoor","San Francisco, CA, United States","2025-05-15","","","","","","",False,"","","","","#TeamNextdoor

Nextdoor (NYSE: KIND) is the essential neighborhood network. Neighbors, public agencies, and businesses use Nextdoor to connect around local information that matters in more than 340,000 neighborhoods across 11 countries. Nextdoor builds innovative technology to foster local community, share important news, and create neighborhood connections at scale. Download the app and join the neighborhood at nextdoor.com.

Meet Your Future Neighbors

In conjunction with Product Management and Design, the Engineering team at Nextdoor is responsible for bringing to life our mission of being the neighborhood hub for trusted connections and the exchange of helpful information, goods, and services. Working in small cross-functional teams, you’ll work in an agile environment that values code quality, learning quickly, and personal growth through collaboration and challenge.

You will collaborate with Frontend, Backend, Data Science, Infrastructure, Machine Learning Engineers and more to collectively improve the state of Engineering at Nextdoor. All engineers are invited to join co-ops to facilitate continuous modernization and knowledge sharing.

At Nextdoor, we offer a warm and inclusive work environment that embraces a hybrid employment experience, providing a flexible experience for our valued employees.

The Impact You’ll Make

As a Frontend Engineer on the team, you will be responsible for contributing to the architecture, usability, and reliability of the engineering ecosystem. We believe in empowering our teams to own all aspects of bringing Nextdoor to life. As such, you’ll get the opportunity to make key contributions across the Frontend - this includes developing and improving frameworks, in addition to making direct contributions to your team’s product area, and collaborating closely with multiple teams, stakeholders, and peers.

Software Engineers at Nextdoor have a stake in all aspects of the product - from coming up with the next big ideas to build, to helping set expectations and plan roadmaps, to understanding the impact of new features through rigorous data analysis. As your career at Nextdoor develops, you’ll also get the chance to mentor new team members, and grow your role towards what you’re most passionate about.

What You’ll Bring To The Team
• 2-4 years of Software Development experience, and/or the ability to perform at an advanced level in the domain
• Expertise in modern React, TypeScript, JavaScript, and CSS
• Expertise in at least one server-side web application language is a plus
• Python/Django, Java, and SQL experience is a plus
• Experience with CI/CD systems and testing frameworks is a plus
• Experience within the AWS ecosystem is preferred
• Ability to design and implement heavily used services and systems
• Strong collaboration and communication skills, both verbal and written
• Strong desire to learn new technologies
• Ability to be flexible and adaptable in work environment
• Ability to mentor junior engineers across teams
• Participate in in-person Nextdoor events such as trainings, off-sites, volunteer days, and team building exercises
• Build in-person relationships with team members and contribute to Nextdoor’s company culture

Rewards

Compensation, benefits, perks, and recognition programs at Nextdoor come together to create one overall rewards package.

The starting salary for this role in San Francisco and New York City area is expected to range from $140,000 to $195,000 USD on an annualized basis, or potentially greater in the event that your 'level' of proficiency exceeds the level expected for the role. Compensation may also vary by geography.

We also expect to award a meaningful equity grant for this role. With quarterly vesting, your first vest date would be within the first 3 months of your start date.

Overall, total compensation will vary depending on your relevant skills, experience, and qualifications. We have you covered! Nextdoor employees can choose between a variety of great health plans. We cover 100% of your personal monthly premium for health, dental, and vision – and provide a OneMedical membership for concierge care.

At Nextdoor, we empower our employees to build stronger local communities. To create a platform where all feel welcome, we want our workforce to reflect the diversity of the neighbors we serve. We encourage everyone interested in our mission to apply. We do not discriminate on the basis of race, gender, religion, sexual orientation, age, or any other trait that unfairly targets a group of people. In accordance with the San Francisco Fair Chance Ordinance, we always consider qualified applicants with arrest and conviction records.

For information about our collection and use of applicants’ personal information, please see Nextdoor's Personnel Privacy Notice, found here.","","","","","","","","","","","","","",""
"go-HBIY1tAcLzOssYiCAAAAAA==","google","https://www.linkedin.com/jobs/view/programmer-game-development-%2B-web-front-end-at-strong-compute-4238596472?refId=iTZyM61PN5eqfUKhS9Rrrg%3D%3D&trackingId=nFMZd5p0Ek4KalllkTFGRA%3D%3D&position=12&pageNum=0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Programmer - Game Development + Web Front End.","Strong Compute","San Francisco, CA, United States","2025-05-15","","","","","","",False,"","","","","We’re building a real-time 3D game designed to visualise AI workflows, GPU operations, and large-scale compute infrastructure in an interactive and engaging way. If you’re passionate about game engines, advanced 3D rendering, and making complex technical systems more intuitive through visualisation, this role is for you.

We’re hiring across Junior, Senior, and Principal levels to develop high-performance, interactive 3D environments that bring AI and GPU workloads to life.

What You’ll Work On:

Developing a 3D game that serves as an interactive tool for visualising AI and GPU compute operations

Real-time simulation & physics programming to represent large-scale compute processes

3D engine programming – working with rendering pipelines, shaders, and technical art for high-performance visualisation

Custom rendering & effects – building real-time visual feedback for AI training, GPU utilisation, and system operations

Optimising large-scale interactive environments for seamless user experience and high frame rates

Gameplay programming – designing intuitive interactions that allow users to explore and understand AI infrastructure

Multi-user experience – supporting multiplayer or collaborative features for team-based AI system visualisation

UI/UX design for interactive dashboards and visualisation tools

Your Core Background
• ✅✅ Experience with developing 3D and interactive browser experiences (e.g., Svelte, Three.js, WebGL)
• ✅✅ Proficiency in game engine development (Unity/Unreal Engine/custom/other - for clarity we’re working with our own engine in browser not a commercial engine)
• ✅✅ Strong background in real-time rendering, physics simulation, and game mechanics
• ✅✅ Experience with complex data visualization (e.g., massive-scale data, compute clusters, global networking)

Nice to haves
• ✅ Expertise in shader programming, custom rendering pipelines, and technical art for WebGL
• ✅ Ability to optimize performance for smooth real-time interaction
• ✅ Experience with multiplayer networking and large-scale simulation is a plus
• ✅ Familiarity with GPU operations and AI infrastructure concepts

Non-Engineering Responsibilities (Optional But Valuable)
• 🎮 Game & Interaction Design – creating engaging ways to explore complex compute systems
• 🎨 3D Art & Animation – developing assets that represent real-world AI and GPU environments
• 🎵 Audio Engineering – integrating sound to enhance immersion in the 3D visualization experienceOur culture
• 🚀 We move fast. We ship weekly—new features, improvements, and fixes go live fast.
• 👥 We test big. Every month, we stress test with large groups of users face to face, get real-world feedback, and iterate rapidly.
• 💻 We build together. On site only, in SF or Sydney
• 🔄 We iterate relentlessly. Direct user feedback shapes our roadmap—we release, test, refine, and keep moving.
• ✈️ We travel when needed. Engineers may travel between SF and Sydney to run events and meet with clients
• 📍Location: SF or Sydney (OG startup house vibe, great food, late nights, all the GPUs)

Equipment & Benefits
• Top spec Macbook + separate GPU cluster dev environments for each engineer.
• Weekly cash bonus when you workout out 3+ times a week.
• Comprehensive health benefits, including a choice of Kaiser, Aetna OAMC, and HDHP (HSA-eligible) plans for our SF-based team members.
• Highest in the world 20 year exercise window for options

Don’t have all the skills? Apply anyway! We’re looking for people who move fast, learn fast, and ship fast. If that’s you, let’s talk.

Want to get to know us first? Attend one of our upcoming events.","","","","","","","","","","","","","",""
